"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 12:43:19 GMT 2023","Wed Apr 12 12:43:21 GMT 2023","2077","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_data_cookies",""
"broken","Wed Apr 12 12:44:04 GMT 2023","Wed Apr 12 12:44:11 GMT 2023","7336","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_write_data",""
"broken","Wed Apr 12 12:43:55 GMT 2023","Wed Apr 12 12:44:03 GMT 2023","7358","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_delete_data",""
"broken","Wed Apr 12 12:43:47 GMT 2023","Wed Apr 12 12:43:54 GMT 2023","7357","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_modify_data",""
"passed","Wed Apr 12 12:43:31 GMT 2023","Wed Apr 12 12:43:33 GMT 2023","2261","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_all_pages",""
"broken","Wed Apr 12 12:43:08 GMT 2023","Wed Apr 12 12:43:18 GMT 2023","10374","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_login",""
"broken","Wed Apr 12 12:44:13 GMT 2023","Wed Apr 12 12:44:20 GMT 2023","7384","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Apr 12 12:43:35 GMT 2023","Wed Apr 12 12:43:42 GMT 2023","7360","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_new_data",""
"broken","Wed Apr 12 12:43:43 GMT 2023","Wed Apr 12 12:43:46 GMT 2023","2249","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_read_data",""
"broken","Wed Apr 12 12:43:23 GMT 2023","Wed Apr 12 12:43:30 GMT 2023","7338","test_conduit_vizsagremek","test_conduit","TestConduit","","","test_list_data",""
