"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 15:57:48 GMT 2023","Thu Apr 13 15:57:50 GMT 2023","2088","vizsgaremek_tests","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Thu Apr 13 15:58:34 GMT 2023","Thu Apr 13 15:58:37 GMT 2023","3357","vizsgaremek_tests","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Apr 13 15:57:32 GMT 2023","Thu Apr 13 15:57:37 GMT 2023","5491","vizsgaremek_tests","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 13 15:57:51 GMT 2023","Thu Apr 13 15:57:54 GMT 2023","2437","vizsgaremek_tests","test_conduit","TestConduit","","","test_list_data",""
"passed","Thu Apr 13 15:58:30 GMT 2023","Thu Apr 13 15:58:33 GMT 2023","2516","vizsgaremek_tests","test_conduit","TestConduit","","","test_write_data",""
"passed","Thu Apr 13 15:57:39 GMT 2023","Thu Apr 13 15:57:40 GMT 2023","953","vizsgaremek_tests","test_conduit","TestConduit","","","test_registration1",""
"passed","Thu Apr 13 15:57:59 GMT 2023","Thu Apr 13 15:58:04 GMT 2023","5046","vizsgaremek_tests","test_conduit","TestConduit","","","test_new_data",""
"passed","Thu Apr 13 15:57:55 GMT 2023","Thu Apr 13 15:57:57 GMT 2023","2415","vizsgaremek_tests","test_conduit","TestConduit","","","test_all_pages",""
"passed","Thu Apr 13 15:57:41 GMT 2023","Thu Apr 13 15:57:46 GMT 2023","5330","vizsgaremek_tests","test_conduit","TestConduit","","","test_login",""
"passed","Thu Apr 13 15:58:19 GMT 2023","Thu Apr 13 15:58:29 GMT 2023","10078","vizsgaremek_tests","test_conduit","TestConduit","","","test_delete_data",""
"broken","Thu Apr 13 15:58:05 GMT 2023","Thu Apr 13 15:58:07 GMT 2023","2288","vizsgaremek_tests","test_conduit","TestConduit","","","test_read_data",""
"passed","Thu Apr 13 15:58:09 GMT 2023","Thu Apr 13 15:58:17 GMT 2023","8803","vizsgaremek_tests","test_conduit","TestConduit","","","test_modify_data",""
