"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 13 17:21:32 GMT 2023","Thu Apr 13 17:21:32 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_modify_data",""
"broken","Thu Apr 13 17:21:29 GMT 2023","Thu Apr 13 17:21:29 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_all_pages",""
"broken","Thu Apr 13 17:21:30 GMT 2023","Thu Apr 13 17:21:30 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_new_data",""
"broken","Thu Apr 13 17:21:27 GMT 2023","Thu Apr 13 17:21:27 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_data_cookies",""
"broken","Thu Apr 13 17:21:27 GMT 2023","Thu Apr 13 17:21:27 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_login",""
"broken","Thu Apr 13 17:21:26 GMT 2023","Thu Apr 13 17:21:26 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_registration1",""
"broken","Thu Apr 13 17:21:21 GMT 2023","Thu Apr 13 17:21:21 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_registration",""
"broken","Thu Apr 13 17:21:31 GMT 2023","Thu Apr 13 17:21:31 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_read_data",""
"broken","Thu Apr 13 17:21:33 GMT 2023","Thu Apr 13 17:21:33 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_write_data",""
"broken","Thu Apr 13 17:21:34 GMT 2023","Thu Apr 13 17:21:34 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_logout",""
"broken","Thu Apr 13 17:21:28 GMT 2023","Thu Apr 13 17:21:28 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_list_data",""
"broken","Thu Apr 13 17:21:32 GMT 2023","Thu Apr 13 17:21:32 GMT 2023","0","vizsgaremek_tests","test_conduit","TestConduit","","","test_delete_data",""
